Number,Name,WS,BPM,VORP,DARKO,CPM,Salary
217,Sandro Mamukelashvili,2.2,2.3,0.7,1.1,0.8,"$2,087,519"
203,Immanuel Quickley,2.5,2.2,1,0.4,1.6,"$32,500,000"
338,Josh Minott,0.9,2.2,0.3,0.1,-0.4,"$2,019,699"
60,Deni Avdija,5.6,2.1,2.2,0.5,1.5,"$15,625,000"
31,Bam Adebayo,7.5,2,2.7,1.2,2.2,"$34,848,340"
61,Jakob Poeltl,5.5,2,1.7,2.2,2.2,"$19,500,000"
123,Tyrese Maxey,3.8,2,2,1.3,1.3,"$35,147,000"
7,Rudy Gobert,10.1,1.9,2.4,2.7,3.5,"$43,827,586"
82,Keon Ellis,5,1.9,1.9,1,2.2,"$2,120,693"
29,Austin Reaves,7.6,1.9,2.6,0.9,1.6,"$12,976,362"
85,Scotty Pippen Jr.,4.7,1.9,1.7,0,1.5,"$2,087,519"
120,Donte DiVincenzo,3.9,1.9,1.6,0.8,0.9,"$11,445,000"
208,Jalen Johnson,2.4,1.8,1.2,1.4,1.9,"$4,510,905"
62,Walker Kessler,5.4,1.8,1.7,1.2,1.7,"$2,965,920"
286,Larry Nance Jr.,1.3,1.8,0.4,-0.6,0.6,"$11,205,000"
155,Miles Bridges,3.2,1.8,2,0,0.1,"$27,173,913"
30,Pascal Siakam,7.5,1.7,2.4,2.2,2.6,"$42,176,400"
124,Ausar Thompson,3.8,1.7,1.2,0.5,2.1,"$8,376,000"
273,John Konchar,1.5,1.7,0.5,-0.5,0.4,"$6,165,000"
101,Obi Toppin,4.3,1.7,1.4,-0.5,-0.2,"$12,975,000"
54,Naz Reid,5.7,1.6,2,0.8,1.5,"$13,986,432"
289,Josh Okogie,1.3,1.5,0.6,1.8,2,"$8,250,000"
64,Norman Powell,5.3,1.5,1.8,1.4,1.5,"$19,241,379"
83,Dyson Daniels,5,1.5,2.3,0,1.5,"$6,059,520"
169,Tre Jones,2.9,1.5,0.8,0.5,1.1,"$9,104,167"
177,Kyle Anderson,2.8,1.5,0.9,-1.4,-0.1,"$8,780,488"
430,Patrick Baldwin Jr.,0.2,1.5,0.1,-0.8,-0.7,"$2,448,840"
165,Gary Payton II,3,1.4,0.8,1,1.3,"$9,130,000"
34,Onyeka Okongwu,7.2,1.3,1.7,1.6,1.8,"$14,000,000"
77,Isaiah Joe,5.1,1.3,1.4,1.7,1.7,"$12,991,650"
46,Julius Randle,6.2,1.3,1.8,0.4,0.6,"$33,073,920"
144,Max Strus,3.4,1.3,1.1,0.2,0.5,"$15,212,068"
341,Branden Carlson,0.9,1.3,0.2,-1.7,-1.6,"$496,519"
99,Al Horford,4.4,1.2,1.3,0.7,2,"$9,500,000"
108,Aaron Gordon,4.3,1.2,1.2,2.1,2,"$22,841,455"
69,Mike Conley,5.2,1.2,1.4,0.6,1.5,"$9,975,962"
151,T.J. McConnell,3.2,1.2,1.2,-0.1,0.4,"$9,300,000"
394,Tony Bradley,0.4,1.2,0.1,0.3,0.3,"$600,545"
142,Trayce Jackson-Davis,3.4,1.2,0.8,-0.8,-0.4,"$1,891,857"
423,Chris Duarte,0.3,1.2,0.1,,-0.6,"$5,893,768"
63,Aaron Wiggins,5.4,1.1,1.4,1.4,1.3,"$10,514,017"
224,Richaun Holmes,2,1.1,0.4,0.9,0.4,"$12,648,321"
118,Luke Kennard,3.9,1.1,1.2,-0.5,-0.5,"$9,250,000"
316,Craig Porter Jr.,1.1,1.1,0.4,-1.1,-1.5,"$1,891,857"
73,Cason Wallace,5.2,1,1.5,-0.5,0.7,"$5,555,880"
200,John Collins,2.5,1,0.9,0.3,0.7,"$26,580,000"
296,Brandon Williams,1.3,1,0.4,-0.8,-1.3,"$47,989"
445,Bobi Klintman,0.2,1,0,-2.6,-1.4,"$1,257,153"
72,Fred VanVleet,5.2,0.9,1.5,2.1,2.7,"$42,846,615"
187,Day'Ron Sharpe,2.7,0.9,0.7,0.9,1.3,"$3,989,122"
170,Jalen Smith,2.9,0.9,0.7,0.3,1,"$8,571,429"
115,Caris LeVert,4,0.9,1.2,-0.3,-0.1,"$16,615,384"
116,Andrew Wiggins,4,0.9,1.4,-1.1,-0.4,"$26,276,786"
39,Brook Lopez,6.6,0.8,1.8,1.2,1.7,"$23,000,000"
47,Jamal Murray,6.2,0.8,1.7,2.1,1.6,"$36,016,200"
98,Brandon Clarke,4.4,0.8,0.9,1.6,1.5,"$12,500,000"
56,Chris Paul,5.7,0.8,1.6,0.4,1.3,"$10,460,000"
95,Sam Hauser,4.4,0.8,1.1,0.7,1.1,"$2,092,344"
422,Isaiah Jackson,0.3,0.8,0.1,0.8,1,"$4,435,381"
136,Nicolas Batum,3.5,0.8,1,-1,0.5,"$4,668,000"
88,Malik Beasley,4.7,0.8,1.6,0.6,0.4,"$6,000,000"
342,Bol Bol,0.9,0.8,0.3,0.5,0.2,"$2,087,519"
145,Jonathan Isaac,3.4,0.7,0.7,1.5,2.4,"$25,000,000"
40,OG Anunoby,6.5,0.7,1.9,2.1,2.3,"$36,637,932"
110,Brandin Podziemski,4.2,0.7,1.2,0.3,2,"$3,519,960"
75,Jrue Holiday,5.1,0.7,1.3,-0.1,1.6,"$30,000,000"
227,Khris Middleton,2,0.7,0.6,0.7,0.6,"$31,000,000"
74,Zach LaVine,5.1,0.7,1.8,0.6,0.2,"$44,531,940"
191,Vit Krejci,2.6,0.7,0.8,-0.7,-0.6,"$2,162,606"
113,Kris Dunn,4,0.6,1.2,0.9,2.1,"$5,168,000"
130,Kenrich Williams,3.6,0.6,0.7,1.6,1.7,"$6,669,000"
160,Thomas Bryant,3.1,0.6,0.6,-0.2,-0.1,"$2,087,519"
105,Jonas Valanciunas,4.3,0.6,1,-0.6,-0.9,"$9,900,000"
206,RJ Barrett,2.4,0.6,1.2,-1.4,-1.3,"$25,794,643"
128,Draymond Green,3.7,0.5,1.3,1.9,3.3,"$24,107,143"
53,Trae Young,5.7,0.5,1.7,1.6,0.9,"$43,031,940"
76,Jalen Green,5.1,0.5,1.7,0.6,-0.5,"$12,483,048"
86,Myles Turner,4.7,0.4,1.3,1.9,2.2,"$19,928,500"
313,Jalen Suggs,1.1,0.4,0.6,1.4,2.1,"$9,188,385"
44,Devin Booker,6.4,0.4,1.7,2.4,1.7,"$49,205,800"
107,De'Aaron Fox,4.3,0.4,1.3,1.2,1.4,"$34,848,340"
